Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Views,Likes,Comments,Stream,EnergyLiveness,Album_type_compilation,Album_type_single,Licensed_False,Licensed_True,official_video_False,official_video_True,most_playedon_Youtube,Artist,Track,Album,Channel,Cluster
0.531,0.583,-9.47,0.0256,0.0184,0.00624,0.255,0.207,139.503,6.4526666666666666,Metallica - The Unforgiven (Official Music Video),426125708.0,1781690.0,46392.0,0.0,2.286274509803921,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1261.0,15115.0,6415.0,5541.0,2
0.438,0.687,-9.15,0.0619,0.000668,0.0801,0.42,0.426,103.01,7.435766666666667,Metallica - One (Official Music Video) [Remastered in HD],524.0,18.0,1.0,0.0,1.635714285714286,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1261.0,10937.0,32.0,3819.0,0
0.512,0.86,-6.145,0.0703,0.00631,0.00528,0.0652,0.258,117.909,5.166216666666666,For Whom The Bell Tolls (Remastered),23666398.0,274106.0,667.0,0.0,13.190184049079756,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1261.0,5214.0,8365.0,3437.0,3
0.386,0.996,-2.96,0.0754,1.15e-05,0.000836,0.116,0.188,130.573,3.428,Metallica: Lux Æterna (Official Music Video),14937918.0,473751.0,46230.0,20061385.0,8.586206896551724,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1261.0,8989.0,6058.0,3436.0,0
0.624,0.876,-6.005,0.0342,0.000926,0.00164,0.0561,0.453,89.24,5.41,Metallica: Sad But True (Official Music Video),72737062.0,418124.0,15110.0,0.0,15.614973262032086,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1261.0,12740.0,6415.0,3436.0,0
0.425,0.972,-3.448,0.045,2.42e-05,0.0202,0.239,0.282,101.125,5.50755,Metallica: Screaming Suicide (Official Music Video),4317758.0,217109.0,17225.0,3905429.0,4.066945606694561,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1261.0,12939.0,8714.0,3436.0,0
0.429,0.661,-7.227,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.4462166666666665,Coldplay - Yellow (Official Video),832532409.0,4600933.0,118296.0,1483622308.0,2.824786324786325,0.0,0.0,0.0,1.0,0.0,1.0,0.0,381.0,17135.0,7532.0,1057.0,2
0.486,0.617,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4.03955,Coldplay - Viva La Vida (Official Video),789581468.0,4370461.0,261790.0,1325575712.0,5.660550458715596,0.0,0.0,0.0,1.0,0.0,1.0,0.0,381.0,16214.0,11037.0,1057.0,2
0.371,0.268,-10.506,0.0281,0.748,0.0517,0.104,0.165,102.617,3.784883333333333,Sparks,73201019.0,787343.0,1637.0,475353044.0,2.576923076923077,0.0,0.0,0.0,1.0,0.0,1.0,0.0,381.0,13804.0,7532.0,1058.0,0
0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,4.1193333333333335,The Chainsmokers & Coldplay - Something Just Like This (Lyric),2118018686.0,10282499.0,270444.0,2030825694.0,3.8719512195121952,0.0,0.0,0.0,1.0,0.0,1.0,1.0,381.0,13679.0,6386.0,931.0,0
0.557,0.442,-7.224,0.0243,0.731,1.46e-05,0.11,0.213,146.277,5.16,Coldplay - The Scientist (Official 4K Video),1082588109.0,5532787.0,124357.0,1465980600.0,4.0181818181818185,0.0,0.0,0.0,1.0,0.0,1.0,0.0,381.0,15067.0,369.0,1057.0,0
0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,4.46445,Coldplay - A Sky Full Of Stars (Official Video),786404613.0,3741300.0,79974.0,1021782403.0,3.2296650717703352,0.0,0.0,0.0,1.0,0.0,1.0,0.0,381.0,410.0,4011.0,1057.0,1
0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4.645316666666667,Coldplay - Paradise (Official Video),1665814269.0,8497224.0,343020.0,927288329.0,7.022809123649459,0.0,0.0,0.0,1.0,0.0,1.0,1.0,381.0,11291.0,6775.0,1057.0,0
0.491,0.693,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,4.30445,Coldplay - Hymn For The Weekend (Official Video),1828242112.0,13515772.0,377666.0,1049654852.0,2.132307692307692,0.0,0.0,0.0,1.0,0.0,1.0,1.0,381.0,6577.0,325.0,1057.0,3
0.573,0.711,-6.268,0.0406,0.0114,0.0,0.328,0.47,105.006,3.7699666666666665,Coldplay X BTS - My Universe (Official Video),254655970.0,8867547.0,432726.0,883224238.0,2.167682926829268,0.0,0.0,0.0,1.0,0.0,1.0,0.0,381.0,10073.0,6697.0,1057.0,0
